CCC,CUM. INPUT (MU),CUM. DEMAND(MU),CUM. COLLEC. (MU),CUM. AT&C LOSS,CUM. DIST. LOSS,COLL. EFF.,MONTH,YEAR
TAPAN,88.95,35.61,39.4,59.97%,59.97%,100.00%,5,2023
PATIRAM,32.01,22.98,22.19,30.67%,28.21%,96.58%,5,2023
Balurghat Div Total,254.1,176.49,178.12,30.54%,30.54%,100.00%,5,2023
BUNIADPUR,48.94,36.12,32.94,32.69%,26.20%,91.21%,5,2023
HARIRAMPUR,39.65,22.83,23.67,42.43%,42.43%,100.00%,5,2023
GANGARAMPUR,104.9,57.35,55.91,46.70%,45.33%,97.49%,5,2023
KUSHMUNDI,40.59,31.27,30.35,25.22%,22.95%,97.06%,5,2023
Buniadpur Div Total,234.07,147.56,142.88,38.96%,36.96%,96.82%,5,2023
RATHBARI,90.13,71.72,69.91,22.43%,20.43%,97.48%,6,2023
FULBARI,64.02,56.82,55.77,12.89%,11.25%,98.15%,6,2023
MOKDAMPUR,66.17,53.82,51.89,21.58%,18.66%,96.41%,6,2023
OLD MALDA,94.45,70.41,69.03,26.92%,25.45%,98.04%,6,2023
KALIACHAK,65.43,42.64,41.09,37.20%,34.83%,96.37%,6,2023
SUJAPUR,72.36,42.18,41.08,43.23%,41.71%,97.40%,6,2023
AIHO,58.81,42,40.55,31.05%,28.58%,96.55%,6,2023
MOTHABARI,49.81,37.74,35.86,28.01%,24.24%,95.02%,6,2023
MATHURAPUR,52.56,39.24,36.84,29.92%,25.35%,93.88%,6,2023
BAISNABNAGAR,38.42,28.76,27.17,29.28%,25.15%,94.47%,6,2023
GOLAPGANJ,38.4,30.53,27.29,28.92%,20.48%,89.39%,6,2023
South Malda Div Total,690.56,515.85,496.48,28.11%,25.30%,96.24%,6,2023
SAMSI,83.13,45.97,45.91,44.77%,44.70%,99.87%,6,2023
PARANPUR,53.37,28.2,27.61,48.27%,47.17%,97.91%,6,2023
GAZOLE,89.29,55.28,51.8,41.98%,38.09%,93.70%,6,2023
CHANCHAL,54.99,39.05,39.1,28.99%,28.99%,100.00%,6,2023
H.C. PUR,48.01,34.92,35.5,27.27%,27.27%,100.00%,6,2023
BHALUKA,55.9,29.05,28.88,48.33%,48.04%,99.43%,6,2023
BAMANGOLA,34.28,28.49,26.83,21.74%,16.89%,94.17%,6,2023
MALATIPUR,59.69,36.28,36.35,39.22%,39.22%,100.00%,6,2023
KUSHIDA,37.62,24.47,25.34,34.96%,34.96%,100.00%,6,2023
PANDUA,37.7,20.41,19.75,47.63%,45.86%,96.74%,6,2023
North Malda Div Total,554,342.12,337.07,39.16%,38.24%,98.52%,6,2023
RAIGANJ,97.24,71.21,77.15,26.76%,26.76%,100.00%,6,2023
KALIAGANJ,76.03,64.95,63.34,16.69%,14.57%,97.52%,6,2023
HEMTABAD,31.16,25.91,26.39,16.84%,16.84%,100.00%,6,2023
BIRNAGAR,74.35,64.96,65.07,12.63%,12.63%,100.00%,6,2023
ITAHAR,84.85,50.08,50.04,41.03%,40.98%,99.92%,6,2023
KARANDEGHI,75.36,48.91,54.04,35.09%,35.09%,100.00%,6,2023
Raiganj Div Total,438.98,326.02,336.03,25.73%,25.73%,100.00%,6,2023
DALKHOLA,25.47,19.71,20.06,22.63%,22.63%,100.00%,6,2023
KANKI,48.6,32.67,30.32,37.62%,32.78%,92.80%,6,2023
GOALPOKHAR,55.19,35.01,33.68,38.97%,36.56%,96.20%,6,2023
ISLAMPUR,85.67,61.5,57.84,32.48%,28.22%,94.06%,6,2023
CHOPRA,68.32,40.2,37.07,45.75%,41.16%,92.20%,6,2023
Islampur Div Total,283.26,189.09,178.98,36.81%,33.24%,94.65%,6,2023
BALURGHAT,75.16,71.04,71.25,5.48%,5.48%,100.00%,6,2023
HILI,22.16,18.42,18.22,17.79%,16.86%,98.88%,6,2023
KUMARGUNJ,38,28.95,28.7,24.46%,23.79%,99.12%,6,2023
TAPAN,93.33,36.23,40.08,61.19%,61.19%,100.00%,6,2023
PATIRAM,32.57,23.04,22.52,30.85%,29.27%,97.77%,6,2023
Balurghat Div Total,261.22,177.69,180.77,31.98%,31.98%,100.00%,6,2023
BUNIADPUR,50.19,37.03,34.35,31.57%,26.22%,92.76%,6,2023
HARIRAMPUR,40.71,23.22,23.82,42.97%,42.97%,100.00%,6,2023
GANGARAMPUR,107.23,57.9,56.24,47.55%,46.00%,97.14%,6,2023
KUSHMUNDI,41.47,31.77,30.7,25.97%,23.41%,96.65%,6,2023
Buniadpur Div Total,239.61,149.91,145.11,39.44%,37.43%,96.80%,6,2023
RATHBARI,91.02,71.85,70.27,22.80%,21.06%,97.80%,7,2023
FULBARI,66.3,57.32,56.24,15.16%,13.53%,98.11%,7,2023
MOKDAMPUR,67.21,54.06,51.8,22.93%,19.57%,95.83%,7,2023
OLD MALDA,96.25,70.53,67.75,29.62%,26.72%,96.06%,7,2023
KALIACHAK,66.44,42.55,41.13,38.09%,35.95%,96.66%,7,2023
SUJAPUR,74.79,42.32,41.31,44.76%,43.42%,97.64%,7,2023
AIHO,59.74,42.04,40.62,32.01%,29.63%,96.61%,7,2023
MOTHABARI,49.82,37.86,36.06,27.61%,24.00%,95.25%,7,2023
MATHURAPUR,53.35,39.33,36.9,30.83%,26.29%,93.84%,7,2023
BAISNABNAGAR,39.32,28.69,27.37,30.38%,27.02%,95.40%,7,2023
GOLAPGANJ,37.84,30.76,27.21,28.09%,18.72%,88.46%,7,2023
South Malda Div Total,702.07,517.31,496.68,29.26%,26.32%,96.01%,7,2023
SAMSI,84.59,46.47,45.35,46.39%,45.06%,97.59%,7,2023
PARANPUR,54.47,28.35,27.26,49.97%,47.95%,96.12%,7,2023
GAZOLE,91.67,56.32,52.28,42.97%,38.56%,92.83%,7,2023
CHANCHAL,57.69,39.26,39.03,32.35%,31.94%,99.40%,7,2023
H.C. PUR,48.81,35.32,35.39,27.64%,27.64%,100.00%,7,2023
BHALUKA,56.64,29.3,29.18,48.48%,48.28%,99.60%,7,2023
BAMANGOLA,34.8,28.84,27.1,22.11%,17.11%,93.96%,7,2023
MALATIPUR,61.02,36.6,36.46,40.26%,40.02%,99.62%,7,2023
KUSHIDA,39.59,24.72,25.2,37.55%,37.55%,100.00%,7,2023
PANDUA,38.22,20.79,19.79,48.22%,45.61%,95.20%,7,2023
North Malda Div Total,567.51,345.98,337.04,40.61%,39.04%,97.41%,7,2023
RAIGANJ,100.21,71.73,77.26,28.42%,28.42%,100.00%,7,2023
KALIAGANJ,77.79,65.15,64.33,17.31%,16.24%,98.73%,7,2023
HEMTABAD,31.86,26.05,26.31,18.24%,18.24%,100.00%,7,2023
BIRNAGAR,77.16,65.28,64.81,16.01%,15.40%,99.29%,7,2023
ITAHAR,87.11,50.36,50.1,42.49%,42.19%,99.47%,7,2023
KARANDEGHI,68.03,46,49.95,32.37%,32.37%,100.00%,7,2023
Raiganj Div Total,442.16,324.57,332.76,26.59%,26.59%,100.00%,7,2023
DALKHOLA,36.05,23.32,23.96,35.32%,35.32%,100.00%,7,2023
KANKI,50.52,32.95,30.06,40.50%,34.78%,91.23%,7,2023
GOALPOKHAR,56.74,35.45,33.79,40.45%,37.52%,95.32%,7,2023
ISLAMPUR,88.16,61.96,57.48,34.80%,29.72%,92.77%,7,2023
CHOPRA,70.45,40.79,36.85,47.69%,42.11%,90.36%,7,2023
Islampur Div Total,301.92,194.46,182.14,39.67%,35.59%,93.67%,7,2023
BALURGHAT,77.25,72.04,71.02,8.07%,6.74%,98.58%,7,2023
HILI,22.47,18.38,18.19,19.02%,18.20%,98.99%,7,2023
KUMARGUNJ,38.86,29.44,27.86,28.29%,24.22%,94.63%,7,2023
TAPAN,96.95,36.8,40.56,62.04%,62.04%,100.00%,7,2023
PATIRAM,33.26,23.12,22.47,32.45%,30.50%,97.20%,7,2023
Balurghat Div Total,268.79,179.79,180.11,33.11%,33.11%,100.00%,7,2023
BUNIADPUR,51.34,37.79,34.61,32.57%,26.39%,91.60%,7,2023
HARIRAMPUR,42.07,23.67,24.08,43.75%,43.75%,100.00%,7,2023
GANGARAMPUR,110.08,58.88,56.73,48.47%,46.51%,96.34%,7,2023
KUSHMUNDI,42.52,32.06,30.6,28.02%,24.60%,95.46%,7,2023
Buniadpur Div Total,246,152.39,146.02,40.64%,38.05%,95.82%,7,2023
RATHBARI,89.97,72.39,70.05,22.14%,19.54%,96.76%,8,2023
FULBARI,67.76,57.73,56.49,16.64%,14.80%,97.85%,8,2023
MOKDAMPUR,67.76,54.66,51.12,24.55%,19.32%,93.53%,8,2023
OLD MALDA,97.31,70.98,67.52,30.62%,27.05%,95.11%,8,2023
KALIACHAK,67.75,42.76,41.6,38.60%,36.88%,97.27%,8,2023
SUJAPUR,76.13,42.68,41.69,45.24%,43.94%,97.67%,8,2023
AIHO,60.84,42.25,40.79,32.96%,30.56%,96.54%,8,2023
MOTHABARI,50.11,37.86,36.37,27.42%,24.44%,96.06%,8,2023
MATHURAPUR,54.05,39.54,37.01,31.51%,26.84%,93.61%,8,2023
BAISNABNAGAR,40.2,28.82,27.5,31.58%,28.30%,95.43%,8,2023
GOLAPGANJ,37.67,31,27.53,26.92%,17.72%,88.81%,8,2023
South Malda Div Total,709.54,520.68,497.66,29.86%,26.62%,95.58%,8,2023
SAMSI,85.01,46.81,45.6,46.36%,44.94%,97.43%,8,2023
