Materials Code,Description,Unit,Rate(Rs),mat_sl,Type,,,,,,,,,,,,,,,,
303062332,"SCADA RMU, 11KV OUTDOOR NON-EXTENSIBLE 4-WAY (2 LBS+ 2 OG) FOR OIL COOLED 630KVA DTR",SET,893213.32,157,Central,,,,,,,,,,,,,,,,
401010741,SINGLE PHASE 2W STATIC METER (5-30)A WITH P.P. BOX,NOS,1173.14,158,Central,,,,,,,,,,,,,,,,
401021541,SINGLE PHASE 2W STATIC METER (5-30)A WITHOUT P.P. BOX,NOS,6781.43,159,Central,,,,,,,,,,,,,,,,
401021441,"THREE PHASE 4W (5-30)A, DLMS, WHOLE CURRENT STATIC METER",NOS,7058.15,160,Central,,,,,,,,,,,,,,,,
401021741,THREE PHASE 4W STATIC METER (10-60)A WITH PP BOX & LPR,NOS,6546.31,161,Central,,,,,,,,,,,,,,,,
401011541,1 PHASE SMART METER WITH BOX AND DATA CARD,NOS,5528.45,162,Central,,,,,,,,,,,,,,,,
401022141,3 PHASE SMART METER WITH BOX AND DATA CARD,NOS,7463.26,163,Central,,,,,,,,,,,,,,,,
401010541,PREPAID1PHACSTAT.MTR.(5-30A)WHPPBOX,NOS,7410.32,164,Central,,,,,,,,,,,,,,,,
401010841,1PHACSTAT.MTR.(10-60A)PRE-PAID WHSLNO,NOS,8056.64,165,Central,,,,,,,,,,,,,,,,
401021641,3PH4WACSTAT.MTR.(20-80A)PRE-PAIDWHSLNO,NOS,16303.88,166,Central,,,,,,,,,,,,,,,,
401010941,1P 2W 5-30A EXPORT/IMPORT MTR WHSLNO,NOS,2095.44,167,Central,,,,,,,,,,,,,,,,
401021241,THREE PHASE STATIC METER (5-30)A IMPORT-EXPORT TYPE,NOS,6106.99,168,Central,,,,,,,,,,,,,,,,
401021341,THREE PHASE STATIC METER (20-100)A IMPORT-EXPORT TYPE,NOS,6730.69,169,Central,,,,,,,,,,,,,,,,
401034441,3P4W LTCT  EXPORT IMPORT  BLK MTR WHSLNO,NOS,6720.42,170,Central,,,,,,,,,,,,,,,,
401034541,3P4W 11KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,9598.76,171,Central,,,,,,,,,,,,,,,,
401034641,3P4W 33KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,9598.76,172,Central,,,,,,,,,,,,,,,,
401034841,3P4W 132KV  EXPORT IMPORT  BLK MTR WHSLNO,NOS,43310.77,173,Central,,,,,,,,,,,,,,,,
401034041,3PH 4 W LT TOD METER CT RATIO 200/5 A FOR LT BULK,NOS,6059.98,174,Central,,,,,,,,,,,,,,,,
401034141,3PH 4 W DLMS WITH CT RATIO 50/5 A FOR 11KV  BULK,NOS,8819.82,175,Central,,,,,,,,,,,,,,,,
401033941,3PH 4 W CT/PT OPERATED  CT RATIO 100/1 A FOR 33 KV BULK,NOS,9243.28,176,Central,,,,,,,,,,,,,,,,
401030541,"3 PHASE 4WIRE STATIC 132 KV CT-PT OPERATED HT TRIVECTOR TOD FOR 132 KV BULK,0.2S",NOS,40740.53,177,Central,,,,,,,,,,,,,,,,
401033441,"1 PH 2 W STATIC 25 KV CT-PT OPERATED TRIVECTOR TOD ENERGY METER FORTRACTION APPLICATION, 0.2S",NOS,37447.22,178,Central,,,,,,,,,,,,,,,,
401030641,"1 PH 2W STATIC 132 KV CT-PT OPERATED TRIVECTOR TOD ENERGY METER FOR 132 KV TRACTION POWER,0.2S",NOS,42755.16,179,Central,,,,,,,,,,,,,,,,
401032141,HT 11KV FEEDER METER,NO,8650.04,180,Central,,,,,,,,,,,,,,,,
401034241,"3-PH 4-WIRE (1A) AMR,TRI-VECTOR FEEDER METER FOR 33 KV SUB-STN",NOS,9308.63,181,Central,,,,,,,,,,,,,,,,
401034741,MULTI-FEEDER METERING RACK WITH SUMMATION UNIT FOR TWO FEEDER SUMMATION,NOS,775530.16,182,Central,,,,,,,,,,,,,,,,
401031341,"3PH 4 W CT OPERATED FULLY STATIC AMR,TRI-VECTOR DLMS METER FOR DTR",NOS,6104.51,183,Central,,,,,,,,,,,,,,,,
401034340,3PH4W 11KV(1A)BOUNDARY MTR WH SL NO,NOS,12842.64,184,Central,,,,,,,,,,,,,,,,
902021440,POLYCARBONATE SECURITY SEAL (PATENTED) 20 CM(LIGHT GREEN COLOUR),NOS,7.16,185,Central,,,,,,,,,,,,,,,,
504122141,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 16AMP,NOS,109.23,186,Central,,,,,,,,,,,,,,,,
504122241,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 32 AMP,NOS,174.94,187,Central,,,,,,,,,,,,,,,,
504122341,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 63 AMP,NOS,385.21,188,Central,,,,,,,,,,,,,,,,
504122441,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 100 AMP,NOS,649.37,189,Central,,,,,,,,,,,,,,,,
504122541,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 200 AMP,NOS,1385.33,190,Central,,,,,,,,,,,,,,,,
504122641,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 300 AMP,NOS,2335.50,191,Central,,,,,,,,,,,,,,,,
504122741,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 400 AMP,NOS,3425.13,192,Central,,,,,,,,,,,,,,,,
504122841,RE-WIRABLE PORCELAIN CUT OUT FUSE UNIT 500 AMP,NOS,4080.77,193,Central,,,,,,,,,,,,,,,,
113020641,"11KV ""V"" BRACKET FOR PCC POLE 8M LONG",NOS,1294.37,194,Local,,,,,,,,,,,,,,,,
113020741,"11KV ""V"" BRACKET FOR PCC POLE 9M LONG",NOS,1314.19,195,Local,,,,,,,,,,,,,,,,
